Epoch,Training Loss,Test Loss,mAP,F1,ROC-AUC
10,0.04491648775566915,0.044809117913246155,0.08826471667075028,0.02359136262561872,0.8328069180625232
20,0.03900665664084398,0.04261263087391853,0.12875803394648785,0.08072616674510759,0.8633612477323979
30,0.033618775202305454,0.04169096797704697,0.15241087985500262,0.13392935570329484,0.8754472590660352
40,0.027090704044813563,0.045325253158807755,0.1573691460410237,0.19129595598262633,0.8738643113028581
50,0.020480569867286712,0.05250386893749237,0.15370595899569914,0.2908251830637863,0.8657208966499164
60,0.015360334105077823,0.06333178281784058,0.14715258159813235,0.3586902037774339,0.8540280408118492
70,0.011661531154517155,0.07754587382078171,0.14455355911482523,0.36880373097608105,0.8459808287403463
80,0.008201874282424616,0.09342197328805923,0.14167180970056653,0.3284378875758193,0.8414615157820614
90,0.005526504053728311,0.10267003625631332,0.14213753037222912,0.36682214749775766,0.8397204669549815
100,0.003746389624941501,0.12396284192800522,0.1359052520006354,0.366743024656742,0.8329080450800112
110,0.005874608687842917,0.1225898414850235,0.13620826373883457,0.3192021746610989,0.8354298844518346
120,0.0019160625687948648,0.1338590681552887,0.13850073894011034,0.33575841703660336,0.8357870715904464
130,0.0016439073974159873,0.1347026377916336,0.1385767820431544,0.32374591996857693,0.836239474478946
140,0.0015022543697932344,0.13264217972755432,0.13795345660844718,0.32968395196469885,0.8375930850622431
150,0.0057072842725000945,0.12531346082687378,0.1348337601909264,0.30990872778879447,0.8347739006032505
160,0.00044201354416099133,0.15840095281600952,0.13724068124567318,0.3532305995816624,0.8369500565118284
170,0.00031001987664257383,0.15438774228096008,0.13974846236715469,0.3212911084775873,0.8376946844102653
180,0.0006076700862713609,0.1446090042591095,0.13906411209801875,0.3273143563776899,0.8368096609811186
190,0.00017246418034918843,0.16806897521018982,0.13955484770583473,0.30341042411569075,0.838086561948611
200,0.0003206814712678693,0.14940792322158813,0.13907254253447546,0.32985334945220357,0.8376166023791197
210,0.00012636205815831734,0.17053338885307312,0.1387669011650277,0.34929313570808096,0.8377403089504987
220,0.0003761092318958977,0.14762239158153534,0.13974443135823073,0.3663897181303231,0.8368824560511671
230,0.00011474082543393063,0.17083700001239777,0.1401613715206368,0.34498783572131864,0.8381687103244647
240,0.0011223579206723411,0.1396162062883377,0.13865410921605142,0.36580509651650167,0.8360163651641441
250,0.00012141328509288964,0.16811725497245789,0.13985593364396134,0.3744208941927362,0.8374112703632133
260,0.003371573662812448,0.1302933245897293,0.13480915202076693,0.3490188876835817,0.834763234427178
270,0.00012568625067041855,0.1663559526205063,0.1395401868806777,0.33433433044650746,0.8374614643351815
280,6.106817470785604e-05,0.18543732166290283,0.1396034880253813,0.33252675132116793,0.8382003912952263
290,0.00020610834312459133,0.15591123700141907,0.1419928498458362,0.3506627542903436,0.837260838542339
300,8.163010741578071e-05,0.17483963072299957,0.1420637115008728,0.3417389260204803,0.8382136365370113
310,0.005888685475809464,0.12423563748598099,0.1403217790534551,0.33117710908465553,0.8324964220096447
320,0.0001202636832800682,0.166627898812294,0.14323463236192832,0.36053128483007996,0.8373021445312471
330,5.591006603912795e-05,0.18471792340278625,0.14284989608273718,0.3667155103492343,0.8378366469516118
340,0.00018530430494300475,0.15795013308525085,0.14169338343660431,0.3440023952031875,0.8358067349100282
350,0.017592420304067297,0.11862120032310486,0.13021881348293723,0.3354915502620727,0.8267956482732444
360,0.00010644734609474659,0.16870105266571045,0.1415039944975868,0.3106583566885417,0.8361110980262597
370,4.895428800566128e-05,0.18620425462722778,0.14183298000031144,0.3110869481532915,0.8371546120400859
380,0.00028500011770809543,0.15812304615974426,0.14027765767998285,0.3242801245004335,0.835575519830606
390,6.57139428819687e-05,0.17822730541229248,0.14213941613467557,0.33929003283373177,0.8373099875472341
400,3.3225548038575026e-05,0.19506718218326569,0.1423594273468925,0.34984832121754494,0.837762870801514
410,0.00016651464403558011,0.16114327311515808,0.14089470856593161,0.3034659323396856,0.8367294254497614
420,6.0227794095741845e-05,0.18077194690704346,0.1414664731832538,0.3139258053106979,0.8378836896197029
430,2.982867365850545e-05,0.19867466390132904,0.14124831724281287,0.329011003313622,0.8384253870414156
440,0.007690545115145339,0.1269921213388443,0.13525697908182552,0.3439082749110655,0.8262157027793698
450,8.78073747841134e-05,0.17533615231513977,0.14180735538169137,0.3171763090703864,0.8361307767009436
460,4.042282064332609e-05,0.19121675193309784,0.14223970025108154,0.3263751372942761,0.8374909459624388
470,2.0425637436566867e-05,0.2082899510860443,0.14206007453929614,0.3373777007187217,0.8382377854345441
480,0.0004931493912738968,0.15950849652290344,0.14070331782186793,0.3448919631044248,0.8348106918172309
490,6.389099976013023e-05,0.18287122249603271,0.14206098384407442,0.32845465714179417,0.8372533926272391
500,3.0232680265222243e-05,0.19969725608825684,0.1421884238245976,0.334247950675417,0.8378934492311223
510,0.00568768292351086,0.13477832078933716,0.13482709067526774,0.34275785874418085,0.8282902679797877
520,8.645649845704472e-05,0.17693664133548737,0.14064959064161173,0.3110552293998733,0.836459270890756
530,3.850045379677233e-05,0.1936902552843094,0.1410107615752951,0.31666189273578604,0.8378282546659218
540,0.0004737234340163517,0.15934701263904572,0.13924104500565782,0.33540310625248454,0.8349375409486288
550,5.743647526073192e-05,0.1835605651140213,0.14108943500196744,0.32471352509262824,0.8384125512821647
560,0.02007040146524739,0.12219218909740448,0.1278343049701949,0.3276816572382461,0.8227676494551323
570,0.00038100194987161735,0.1734018325805664,0.14034343725579265,0.359888178806574,0.8336133853374241
580,5.559477617998999e-05,0.18645402789115906,0.14203240307747564,0.3522649100408556,0.8360571299755515
590,2.6817351102233557e-05,0.20174488425254822,0.14253323278797503,0.3613267143009014,0.8373120206401355
600,1.4302687275769918e-05,0.21584004163742065,0.14219723678551374,0.33729623158944866,0.8378513899220248
610,7.4956763565768695e-06,0.23213133215904236,0.14190296847498723,0.34133764484729645,0.8383129814055007
620,0.00036514396818167867,0.16898919641971588,0.1383362273566865,0.31850994567012497,0.8323332450058046
630,4.782143922427752e-05,0.19207356870174408,0.1396560916167055,0.3409604403664631,0.8360835961729103
640,0.0001324643462041399,0.17866605520248413,0.13841197671902716,0.3608771235490557,0.8335193753428178
650,3.412185072245234e-05,0.1985984444618225,0.14008983708237177,0.33009106532654203,0.8353380508393314
660,1.746468557598022e-05,0.21303673088550568,0.1405862730599276,0.3202985341656954,0.8362053884879463
670,0.004039528144962469,0.14614954590797424,0.13529364845576386,0.31978505325997597,0.8244376214114318
680,6.197731877335311e-05,0.18842534720897675,0.139605214767732,0.35955887145885823,0.8326992377248223
690,2.7829082752244287e-05,0.2047158032655716,0.14012651822685313,0.3689590853305457,0.8342663393301119
700,0.00013792835916377676,0.17797909677028656,0.13825866713290982,0.3554362704765518,0.8338064716219429
710,3.9899088188825666e-05,0.1969846785068512,0.13916251057808277,0.32127284245963084,0.8358469551501068
720,0.013240746106762605,0.13298887014389038,0.12821554204556265,0.37592344409590894,0.8243281902084473
730,7.050007180930678e-05,0.18601708114147186,0.14030082957103987,0.342550963438772,0.8356866270054126
740,3.112628159921833e-05,0.2025202363729477,0.14085963150937983,0.34197289627522,0.8366383907414621
750,1.838805688447601e-05,0.21763965487480164,0.14155583589561657,0.34166408826864514,0.8371655305682516
760,8.871021298105846e-05,0.18180173635482788,0.14081428305423835,0.3600759418371915,0.8357861578103595
770,3.4194755690301335e-05,0.1993134766817093,0.14125675323972797,0.3551375791544335,0.8371775929148714
780,0.003716865727221178,0.14549502730369568,0.13320773253203091,0.36187851867678206,0.8278402814278288
790,6.215658659767211e-05,0.18754911422729492,0.13961938852861672,0.3738139107880006,0.8361405682262542
800,2.7794018128269893e-05,0.2034180909395218,0.140063348670649,0.34916768307321067,0.8370544287558626
810,0.002789353761988081,0.15297381579875946,0.13636034362566454,0.34572923345689177,0.8314590608666812
820,5.644143682405513e-05,0.19013939797878265,0.1399273934763086,0.3561185658784025,0.8356745984015906
830,2.630437136608084e-05,0.20494337379932404,0.1406250666656412,0.35144290870948436,0.8370983341908683
840,0.005988168994344439,0.14026978611946106,0.13376810929536853,0.3584061628444209,0.8272301193435365
850,6.5678324219311e-05,0.18961110711097717,0.13882152982804988,0.3517916933996957,0.8341133810736906
860,2.89807103978949e-05,0.2061200737953186,0.13956728170050806,0.35113522857557355,0.8354763985456569
870,1.464493078085858e-05,0.22082433104515076,0.1398708359031758,0.337805535718085,0.8363830067838006
880,0.0008498092703254312,0.16550065577030182,0.13704453198767272,0.34379556801615335,0.8310206184576785
890,5.093139634192565e-05,0.1943606287240982,0.13949882439052946,0.3496363554277967,0.8348156997988602
900,2.36851027560536e-05,0.21006321907043457,0.14050539644666402,0.3490152374127213,0.8360401768819017
910,0.0009584585746014669,0.16439785063266754,0.13747251150422968,0.3524039662613103,0.8298006760291746
920,5.224940985638447e-05,0.19517512619495392,0.1396913554173391,0.3514532672175595,0.8337602103251736
930,2.399247464700528e-05,0.2113979309797287,0.14011591441411148,0.3447494656325162,0.8350663012257853
940,1.2094645959443404e-05,0.227213054895401,0.14011180876506366,0.3640227876154428,0.835494777237286
950,0.00020672200401691766,0.1790774166584015,0.13789167855157242,0.3316825489440205,0.8335017476222444
960,3.8260965385425323e-05,0.2011040598154068,0.1387580382481301,0.3496731113605853,0.8356276917680002
970,0.0011845353040191684,0.16671283543109894,0.13534888504812106,0.34164572063822346,0.8295342554544216
980,4.255042945173462e-05,0.1993570625782013,0.13990978078174277,0.3599386141425036,0.8351420041982708
990,2.0600782081137772e-05,0.2139386534690857,0.14047294014127965,0.3502283606757346,0.8362487546767592
1000,1.0735292122193248e-05,0.22850272059440613,0.14083310706472127,0.34544838578606046,0.8364808919035367
